Time, trainValue,dayCosFactor,daySinFactor,temperature,weekCosFactor,weekSinFactor,yearCosFactor,yearSinFactor
2024-01-01T00:00+02:00[Asia/Jerusalem],3501594.167,0.86602540378275,-0.500000000002925,10.54375,-0.93087374864457,-0.365341024365462,0.975381879110982,0.220522538308285
2024-01-01T00:30+02:00[Asia/Jerusalem],3343010.833,0.9238795325062,-0.38268343237737,10.25625,-0.923879532511417,-0.382683432364776,0.975302730545144,0.220872324638435
2024-01-01T01:00+02:00[Asia/Jerusalem],3214745,0.965925826286828,-0.258819045110881,10.10625,-0.916562255871302,-0.399892024316702,0.975223456540759,0.221222082561152
2024-01-01T01:30+02:00[Asia/Jerusalem],3100219.167,0.991444861371387,-0.130526192238463,10.1,-0.908924477413317,-0.416960782758917,0.97514405710805,0.221571812031342
2024-01-01T02:00+02:00[Asia/Jerusalem],3026287.5,1,6.19121019363319E-13,10.15625,-0.900968867901704,-0.433883739119043,0.975064532257189,0.221921513004191
2024-01-01T02:30+02:00[Asia/Jerusalem],3032387.5,0.991444861373124,0.130526192225263,10.35,-0.89269820924421,-0.45065497579876,0.974984881998456,0.222271185434499
2024-01-01T03:00+02:00[Asia/Jerusalem],3050016.667,0.965925826290274,0.258819045098021,10.54375,-0.884115393504921,-0.467268628272474,0.974905106342056,0.222620829277461
2024-01-01T03:30+02:00[Asia/Jerusalem],3029064.167,0.923879532511295,0.38268343236507,10.6,-0.875223421908755,-0.483718887105237,0.974825205298276,0.222970444487995
2024-01-01T04:00+02:00[Asia/Jerusalem],3050867.5,0.866025403789407,0.499999999991395,10.6,-0.866025403784109,-0.500000000000571,0.974745178877367,0.223320031021247
2024-01-01T04:30+02:00[Asia/Jerusalem],3103148.333,0.793353340294461,0.608761429004516,10.6,-0.856524555479047,-0.516106273805523,0.974665027089646,0.223669588832144
2024-01-01T05:00+02:00[Asia/Jerusalem],3180402.5,0.707106781197306,0.707106781175789,10.55,-0.846724199229164,-0.532032076513936,0.974584749945397,0.224019117875839
2024-01-01T05:30+02:00[Asia/Jerusalem],3281755,0.608761429017112,0.793353340284796,10.44375,-0.836627762006963,-0.547771839217042,0.97450434745497,0.224368618107265
2024-01-01T06:00+02:00[Asia/Jerusalem],3456951.667,0.500000000005145,0.866025403781468,10.2,-0.82623877431618,-0.56332005806335,0.97442381962868,0.224718089481583
2024-01-01T06:30+02:00[Asia/Jerusalem],3578665,0.382683432379738,0.923879532505219,9.29849097475859,-0.815560868961172,-0.578671296177111,0.974343166476899,0.225067531953791
2024-01-01T07:00+02:00[Asia/Jerusalem],3756602.5,0.258819045099301,0.965925826289931,10.0375,-0.804597779766077,-0.593820185574303,0.974262388009997,0.225416945478944
2024-01-01T07:30+02:00[Asia/Jerusalem],3859354.167,0.130526192212149,0.991444861374851,11.0125,-0.793353340290226,-0.608761429010036,0.974181484238366,0.225766330012103
2024-01-01T08:00+02:00[Asia/Jerusalem],3924552.5,1.9442231322312E-12,1,12.525,-0.781831482468851,-0.623489801857704,0.974100455172423,0.226115685508276
2024-01-01T08:30+02:00[Asia/Jerusalem],4000847.5,-0.130526192222721,0.991444861373459,14.59375,-0.770036235239681,-0.638000153932504,0.974019300822565,0.226465011922642
2024-01-01T09:00+02:00[Asia/Jerusalem],4035216.667,-0.258819045095545,0.965925826290937,16.425,-0.757971723145448,-0.652287411278127,0.973938021199253,0.226814309210162
