Time, trainValue,c_shift7~ConsumptionReferenceConfiguration~7~0~1.0~false,dayCos~DayCosFactorReferenceConfiguration~0~0~1.0~false,daySin~DaySinFactorReferenceConfiguration~0~0~1.0~false,temp_shift_7~ApparentTemReferenceConfiguration~7~0~1.0~false~telaviv,temperature~ApparentTemReferenceConfiguration~0~0~1.0~false~telaviv,weekCos~WeekCosFactorReferenceConfiguration~0~0~1.0~false,weekSin~WeekSinFactorReferenceConfiguration~0~0~1.0~false,yearCos~YearCosFactorReferenceConfiguration~0~0~1.0~false,yearSin~YearSinFactorReferenceConfiguration~0~0~1.0~false
2024-12-31T00:00+02:00[Asia/Jerusalem],4456863.333,3906504.167,0.866025403788706,-0.499999999992609,14.1062500476837,10.4624998569489,-0.294755174411229,-0.955572805786041,0.975381879110975,0.220522538308319
2024-12-31T00:30+02:00[Asia/Jerusalem],4201784.167,3688296.667,0.923879532510759,-0.382683432366365,14,10.5,-0.276835511424539,-0.960917321945189,0.975302730545136,0.220872324638469
2024-12-31T01:00+02:00[Asia/Jerusalem],4030360,3522954.167,0.965925826289911,-0.258819045099375,13.75,10.5,-0.258819045101569,-0.965925826289323,0.975223456540752,0.221222082561187
2024-12-31T01:30+02:00[Asia/Jerusalem],3905512.5,3406691.667,0.991444861372941,-0.130526192226653,13.5,10.5,-0.240712075407374,-0.970596567453788,0.975144057108042,0.221571812031377
2024-12-31T02:00+02:00[Asia/Jerusalem],3860405.833,3335487.5,1,-2.02112662E-12,13.3000001311302,10.5,-0.222520933957609,-0.974927912181528,0.975064532257194,0.22192151300417
2024-12-31T02:30+02:00[Asia/Jerusalem],3818067.5,3367745,0.991444861375368,0.130526192208218,13.206249833107,10.5,-0.204251981790332,-0.978918345897512,0.974984881998461,0.222271185434478
2024-12-31T03:00+02:00[Asia/Jerusalem],3759223.333,3342282.5,0.965925826290957,0.25881904509547,13.25,10.4437498450279,-0.185911607162918,-0.982566473233288,0.974905106342061,0.22262082927744
2024-12-31T03:30+02:00[Asia/Jerusalem],3731932.5,3328975.833,0.923879532512305,0.38268343236263,13.3499999046326,10.25,-0.167506223307673,-0.985871018517737,0.974825205298281,0.222970444487974
2024-12-31T04:00+02:00[Asia/Jerusalem],3764677.5,3375918.333,0.866025403790727,0.499999999989108,13.3937496542931,10.0500001311302,-0.149042266178465,-0.988830826224783,0.974745178877371,0.223320031021226
2024-12-31T04:30+02:00[Asia/Jerusalem],3831809.167,3399767.5,0.793353340296069,0.608761429002422,13.25,7.68444027673143,-0.130526192221691,-0.991444861373595,0.97466502708965,0.223669588832123
2024-12-31T05:00+02:00[Asia/Jerusalem],3991174.167,3480060.833,0.707106781199173,0.707106781173922,13,7.42690060562402,-0.111964476104293,-0.993712209893132,0.974584749945401,0.224019117875818
2024-12-31T05:30+02:00[Asia/Jerusalem],4051748.333,3634375.833,0.608761429007662,0.793353340292047,12.7437499761581,7.3699870607175,-0.0933636084532784,-0.995632078941103,0.974504347454949,0.224368618107355
2024-12-31T06:00+02:00[Asia/Jerusalem],4199905.833,3872748.333,0.499999999994829,0.866025403787424,12.456249833107,7.26144853783982,-0.0747300935860919,-0.997203797181205,0.974423819628672,0.224718089481618
2024-12-31T06:30+02:00[Asia/Jerusalem],4353771.667,4109415,0.382683432368733,0.923879532509778,12.25,7.08434386040218,-0.0560704472361976,-0.998426815017873,0.974343166476891,0.225067531953825
2024-12-31T07:00+02:00[Asia/Jerusalem],4727934.167,4384975.833,0.258819045101851,0.965925826289248,12.28125,7.17579099307136,-0.037391194278304,-0.999300704788324,0.974262388010002,0.225416945478923
2024-12-31T07:30+02:00[Asia/Jerusalem],5019478.333,4547108.333,0.130526192229194,0.991444861372607,13,10.0999999046326,-0.0186988664322194,-0.999825160912722,0.974181484238371,0.225766330012082
