t,time,c:c,dayCosFactor:c,daySinFactor:c,temperature:c,weekCosFactorT:c,weekSinFactorT:c
1573328700000,2019-11-09T20:45+01:00[Europe/Vienna],177747.5,0.442288690211221,-0.896872741536525,3.1025,-0.820935705334118,0.571020636849119
1573329600000,2019-11-09T21:00+01:00[Europe/Vienna],177510,0.500000000007098,-0.866025403780341,2.97,-0.826238774316069,0.563320058063513
1573330500000,2019-11-09T21:15+01:00[Europe/Vienna],176050,0.555570233016245,-0.831469612304788,2.8125,-0.831469612301792,0.55557023302073
1573331400000,2019-11-09T21:30+01:00[Europe/Vienna],167840,0.608761429007357,-0.793353340292282,2.655,-0.836627762006855,0.547771839217207
1573332300000,2019-11-09T21:45+01:00[Europe/Vienna],167332.5,0.659345815089579,-0.751839807488177,2.4975,-0.841712772494295,0.53992555840594
1573333200000,2019-11-09T22:00+01:00[Europe/Vienna],165217.5,0.707106781188611,-0.707106781184484,2.34,-0.846724199228091,0.532032076515644
1573334100000,2019-11-09T22:15+01:00[Europe/Vienna],170737.5,0.751839807472835,-0.659345815107073,2.29,-0.85166160410008,0.524092083609054
1573335000000,2019-11-09T22:30+01:00[Europe/Vienna],172797.5,0.793353340286976,-0.608761429014272,2.24,-0.856524555478006,0.51610627380725
1573335900000,2019-11-09T22:45+01:00[Europe/Vienna],170320,0.831469612291861,-0.555570233035592,2.19,-0.861312628231805,0.508075345247553
1573336800000,2019-11-09T23:00+01:00[Europe/Vienna],162060,0.866025403783259,-0.500000000002044,2.14,-0.86602540378401,0.500000000000742
1573337700000,2019-11-09T23:15+01:00[Europe/Vienna],167752.5,0.89687274153267,-0.442288690219038,2.0925,-0.870662470136884,0.491880944025217
1573338600000,2019-11-09T23:30+01:00[Europe/Vienna],160185,0.923879532506589,-0.38268343237643,2.045,-0.87522342190866,0.48371888710541
1573339500000,2019-11-09T23:45+01:00[Europe/Vienna],157120,0.946930129496583,-0.32143946529881,1.9975,-0.879707860376983,0.475514542775455
1573340400000,2019-11-10T00:00+01:00[Europe/Vienna],154257.5,0.965925826287091,-0.258819045109898,1.95,-0.884115393503978,0.467268628274256
1573341300000,2019-11-10T00:15+01:00[Europe/Vienna],165107.5,0.980785280402193,-0.195090322021345,1.9075,-0.888445635979239,0.458981864466828
1573342200000,2019-11-10T00:30+01:00[Europe/Vienna],154832.5,0.991444861371519,-0.130526192237454,1.865,-0.892698209243301,0.45065497580056
1573343100000,2019-11-10T00:45+01:00[Europe/Vienna],158320,0.997858923238559,-0.065403129230824,1.8225,-0.89687274153253,0.442288690219322
1573344000000,2019-11-10T01:00+01:00[Europe/Vienna],154240,1,-1.29156221980399E-11,1.78,-0.900968867901618,0.433883739119221
1573344900000,2019-11-10T01:15+01:00[Europe/Vienna],157975,0.997858923238345,0.065403129234089,1.8175,-0.90498623026361,0.425440857268388
1573345800000,2019-11-10T01:30+01:00[Europe/Vienna],154992.5,0.991444861374891,0.130526192211844,1.855,-0.908924477410959,0.416960782764056
1573346700000,2019-11-10T01:45+01:00[Europe/Vienna],149667.5,0.980785280404393,0.195090322010283,1.8925,-0.912783265060971,0.408444256936773
1573347600000,2019-11-10T02:00+01:00[Europe/Vienna],143462.5,0.965925826286244,0.258819045113059,1.93,-0.916562255870496,0.399892024318551
